name,region_id
D'urville Island,mpant:213
Paradise Bay,mpant:214
Jeung-do (island) Tidal flat,mpant:15036
Ongjin Jangbong-do (island) Tidal flat,mpant:15042
Taumoana (Five Fingers Peninsula),mpant:4039
South Puget Sound Wildlife Area,mpant:9005
Gull Island (Santa Cruz Island) State Marine Reserve,mpant:7597
Suncheon Bay Tidal flat,mpant:15048
Motu Motiro Hiva,mpant:9241
Malpelo,mpant:3803
Poor Knights Islands,mpant:4822
Tennyson Inlet,mpant:212
Tamoios,mpant:2736
Ten Mile State Marine Reserve,mpant:68808074
Daeijak-do (island) Neighboring Water,mpant:15033
Kisite,mpant:109
Char Kukri-Mukri,mpant:449
Point Buchon State Marine Reserve,mpant:7642
Two Foot Bay Sanctuary,mpant:9392
Lago Piratuba,mpant:6
Rocas Atoll,mpant:7
Chagos Marine Protected Area,mpant:7707499
GuaraqueÃ§aba,mpant:1409
Cartier Island,mpant:7704327
Piedras Blancas State Marine Reserve,mpant:7636
Vandenberg State Marine Reserve,mpant:7644
JurÃ©ia-Itatins,mpant:2496
Kermadec Islands,mpant:4743
Rangitoto Island,mpant:824
Chungsan-do (island) Neighboring Water,mpant:15032
Stewarts Point State Marine Reserve,mpant:7653
Port Phillip Heads,mpant:7704019
Bacalar Chico,mpant:3670
North Farallon Islands State Marine Reserve,mpant:7680
Montara State Marine Reserve,mpant:7671
Point Reyes State Marine Reserve,mpant:7665
Bodega Head State Marine Reserve,mpant:7659
Wilsons Promontory,mpant:7703899
Point Sur State Marine Reserve,mpant:7631
Twelve Apostles,mpant:7703885
Cap Tourmente,mpant:7700090
Gageo-do (island) Neighboring Water,mpant:15034
Tonga Island,mpant:2397
Moutere Hauriri / Bounty Islands,mpant:15146
Heard Island and McDonald Islands,mpant:7705148
Cape Perpetua,mpant:9208
Laughing Bird Caye,mpant:7701859
Hamelin Pool,mpant:7702758
Tortugas Marine Reserves,mpant:8598
Pacific Remote Islands Marine National Monument,mpant:8345
Mermaid Reef,mpant:1993
Carrington Point (Santa Rosa Island) State Marine Reserve,mpant:7595
Harris Point (San Miguel Island) State Marine Reserve,mpant:7592
Te Tapuwae o Hua (Long Sound),mpant:4042
Farewell Spit,mpant:209
Kapiti,mpant:245
Kapiti Island,mpant:2399
MaracÃ¡ Jipioca,mpant:267
ArqueolÃ_gica de Guaratiba,mpant:1896
Codfish Island,mpant:2398
Anacapa Island State Marine Reserve,mpant:7600
Scorpion (Santa Cruz Island) State Marine Reserve,mpant:7598
Cape Howe,mpant:7703884
Little Barrier Island,mpant:210
Reading Rock State Marine Reserve,mpant:68808062
Phoenix Islands,mpant:7704395
Buck Island Reef,mpant:8339
Exuma Cays Land and Sea Park,mpant:5874
Cape Falcon,mpant:9204
Muan Tidal flat,mpant:15038
Cabo Pulmo,mpant:67704213
Whyalla-Cowleds Landing,mpant:7700076
Chagos Marine Protected Area,mpant:7707499
De Hoop,mpant:67704828
TupinambÃ¡s,mpant:1410
Shark Bay,mpant:1732
Mu Ko Surin,mpant:466
Tubbataha Reefs,mpant:8801207
South Point (Santa Rosa Island) State Marine Reserve,mpant:7596
Nestucca Bay National Wildlife Refuge,mpant:8829
Chagos Marine Protected Area,mpant:7707499
Taim,mpant:605
Teknaf,mpant:742
Halfmoon Caye,mpant:7700266
Coringa-Herald,mpant:4793
Chagos Marine Protected Area,mpant:7707499
Halfmoon Caye,mpant:266
Midway Atoll National Wildlife Refuge,mpant:8826
Mattole Canyon State Marine Reserve,mpant:68808068
South Cape Mendocino State Marine Reserve,mpant:68808066
Big Creek State Marine Reserve,mpant:7633
Nazca-Desventuradas,mpant:9175
Tubbataha Reef,mpant:14761
Tengragiri,mpant:15496
Bird Island Group,mpant:67704046
Arnavon Islands,mpant:6034
Sea Lion Gulch State Marine Reserve,mpant:68808069
Point Vicente State Marine Conservation Area,mpant:68808027
Point Hicks,mpant:7703901
South Orkney Islands Southern Shelf Marine Protected Area,mpant:7705283
Chagos Marine Protected Area,mpant:7707499
Point Dume State Marine Reserve,mpant:68808026
Johnston Atoll,mpant:8764
Nijhum Dweep,mpant:11293
Sundarban South,mpant:451
Begg Rock (San Nicolas Island) State Marine Reserve,mpant:68808024
Moutere Mahue / Antipodes Island,mpant:15145
Campus Point State Marine Conservation Area,mpant:68808022
Bunurong,mpant:7703913
Low Bay Sanctuary,mpant:9393
Lihou Reef,mpant:1585
Discovery Bay,mpant:7703906
Point Conception State Marine Reserve,mpant:68808019
Karbonkelberg Restricted Zone,mpant:68804903
Tsitsikamma,mpant:67704841
French Island,mpant:7703904
Mermaid Reef,mpant:7701993
Point Addis,mpant:7703902
Footprint (Anacapa Channel) State Marine Reserve,mpant:7647
Banc d'Arguin,mpant:7700120
Parininihi,mpant:14256
PapahÄÅnaumokuÄÅkea,mpant:8338
Watamu,mpant:1467
Cascade Head,mpant:9206
Chagos Marine Protected Area,mpant:7707499
Santa Barbara Island State Marine Reserve,mpant:7599
Arvoredo,mpant:1818
Richardson Rock (San Miguel Island) State Marine Reserve,mpant:7590
Funafuti,mpant:6846
Far East Marine,mpant:5333
Sundarban West,mpant:452
Laughing Bird Caye,mpant:1859
Te Tapuwae o Rongokako,mpant:4825
Moana Uta (Wet Jacket Arm),mpant:4037
Auckland Islands - Motu Maha,mpant:4032
Dar es Salaam,mpant:3800
Caye Caulker,mpant:3660
Fernando de Noronha,mpant:1915
Santa Isabel,mpant:1412
Sundarban East,mpant:450
